query_idx,query_label,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
353,Benita,0.3446507622976912,True,1,350,Benita,0.8343805074691772,0.3446507622976912,True,1,350,Benita,0.7856409044892475,0.3446507622976912,True,1,350,Benita,0.834380276920991,0.3446507622976912,True,ConvNeXt-V2,0.3446507622976912,0.0,0.0,False,True
360,Benita,0.34165144742839887,True,1,362,Benita,0.8253387808799744,0.34165144742839887,True,1,362,Benita,0.7746818733601971,0.34165144742839887,True,1,362,Benita,0.8253386605455981,0.34165144742839887,True,ConvNeXt-V2,0.34165144742839887,0.0,0.0,False,True
424,Estella,0.9743434343434344,True,1,429,Estella,0.9378745555877686,0.9743434343434344,True,1,429,Estella,0.9165638155611127,0.9743434343434344,True,1,429,Estella,0.9378744497192948,0.9743434343434344,True,ConvNeXt-V2,0.9743434343434344,0.0,0.0,False,True
500,Jaju,0.2865586533331929,True,1,499,Jaju,0.8254683017730713,0.2865586533331929,True,1,499,Jaju,0.7748383158407192,0.2865586533331929,True,1,499,Jaju,0.8254682021189346,0.2865586533331929,True,ConvNeXt-V2,0.2865586533331929,0.0,0.0,False,True
536,Jaju,0.36983699260517083,True,1,540,Jaju,0.977870523929596,0.36983699260517083,True,1,540,Jaju,0.9698615721223779,0.36983699260517083,True,1,540,Jaju,0.9778700358617516,0.36983699260517083,True,ConvNeXt-V2,0.36983699260517083,0.0,0.0,False,True
537,Jaju,0.2807840436553794,True,1,540,Jaju,0.9750158786773682,0.2807840436553794,True,1,540,Jaju,0.9660076212061259,0.2807840436553794,True,1,540,Jaju,0.9750153872047194,0.2807840436553794,True,ConvNeXt-V2,0.2807840436553794,0.0,0.0,False,True
539,Jaju,0.30696487338986606,True,1,540,Jaju,0.9754560589790344,0.30696487338986606,True,1,540,Jaju,0.9666013920150567,0.30696487338986606,True,1,540,Jaju,0.9754562760689838,0.30696487338986606,True,ConvNeXt-V2,0.30696487338986606,0.0,0.0,False,True
541,Jaju,0.26960835614560635,True,1,540,Jaju,0.978336751461029,0.26960835614560635,True,1,540,Jaju,0.970491737533702,0.26960835614560635,True,1,540,Jaju,0.9783363834137551,0.26960835614560635,True,ConvNeXt-V2,0.26960835614560635,0.0,0.0,False,True
542,Jaju,0.27044132669927906,True,1,538,Jaju,0.9363113641738892,0.27044132669927906,True,1,538,Jaju,0.9145113238125241,0.27044132669927906,True,1,538,Jaju,0.9363111682145538,0.27044132669927906,True,ConvNeXt-V2,0.27044132669927906,0.0,0.0,False,True
543,Jaju,0.2123622906101769,True,1,538,Jaju,0.9219330549240112,0.2123622906101769,True,1,538,Jaju,0.8957403112147728,0.2123622906101769,True,1,538,Jaju,0.9219326197105275,0.2123622906101769,True,ConvNeXt-V2,0.2123622906101769,0.0,0.0,False,True
555,Jaju,0.03438580382062944,False,9,162,Abril,0.7245423197746277,0.03438580382062944,False,9,162,Abril,0.65772341188341,0.03438580382062944,False,9,162,Abril,0.7245421363959743,0.03438580382062944,False,ConvNeXt-V2,0.03438580382062944,0.0,0.0,False,True
556,Jaju,0.0341511454614415,False,10,165,Abril,0.6840172410011292,0.0341511454614415,False,10,165,Abril,0.6133965151367907,0.0341511454614415,False,10,165,Abril,0.6840172864159244,0.0341511454614415,False,ConvNeXt-V2,0.0341511454614415,0.0,0.0,False,True
570,Kamaikua,0.7533382094646247,True,1,573,Kamaikua,0.9453475475311279,0.7533382094646247,True,1,573,Kamaikua,0.9264077457723168,0.7533382094646247,True,1,573,Kamaikua,0.9453466560875923,0.7533382094646247,True,ConvNeXt-V2,0.7533382094646247,0.0,0.0,False,True
571,Kamaikua,0.7468366214920875,True,1,573,Kamaikua,0.9506338238716125,0.7468366214920875,True,1,573,Kamaikua,0.9334029388696107,0.7468366214920875,True,1,573,Kamaikua,0.9506345396829098,0.7468366214920875,True,ConvNeXt-V2,0.7468366214920875,0.0,0.0,False,True
699,Katniss,0.6907526671725622,True,1,697,Katniss,0.9288384318351746,0.6907526671725622,True,1,697,Katniss,0.9047310501573648,0.6907526671725622,True,1,697,Katniss,0.928838596738892,0.6907526671725622,True,ConvNeXt-V2,0.6907526671725622,0.0,0.0,False,True
700,Katniss,0.7022970632993563,True,1,695,Katniss,0.945694625377655,0.7022970632993563,True,1,695,Katniss,0.9268662179092252,0.7022970632993563,True,1,695,Katniss,0.9456949714995257,0.7022970632993563,True,ConvNeXt-V2,0.7022970632993563,0.0,0.0,False,True
701,Katniss,0.7101608754421547,True,1,695,Katniss,0.9464303255081177,0.7101608754421547,True,1,695,Katniss,0.9278384152763111,0.7101608754421547,True,1,695,Katniss,0.9464307428113844,0.7101608754421547,True,ConvNeXt-V2,0.7101608754421547,0.0,0.0,False,True
702,Katniss,0.7683472822103864,True,1,695,Katniss,0.9368321299552917,0.7683472822103864,True,1,695,Katniss,0.9151948408618295,0.7683472822103864,True,1,695,Katniss,0.9368322205876046,0.7683472822103864,True,ConvNeXt-V2,0.7683472822103864,0.0,0.0,False,True
703,Katniss,0.7019284020082717,True,1,695,Katniss,0.9236799478530884,0.7019284020082717,True,1,695,Katniss,0.8980105079782832,0.7019284020082717,True,1,695,Katniss,0.9236802288606838,0.7019284020082717,True,ConvNeXt-V2,0.7019284020082717,0.0,0.0,False,True
704,Katniss,0.7386832919054578,True,1,695,Katniss,0.9211060404777527,0.7386832919054578,True,1,695,Katniss,0.8946665562427515,0.7386832919054578,True,1,695,Katniss,0.9211065688600713,0.7386832919054578,True,ConvNeXt-V2,0.7386832919054578,0.0,0.0,False,True
705,Katniss,0.7558093321169234,True,1,695,Katniss,0.9166527986526489,0.7558093321169234,True,1,695,Katniss,0.8888957552429524,0.7558093321169234,True,1,695,Katniss,0.9166525812482672,0.7558093321169234,True,ConvNeXt-V2,0.7558093321169234,0.0,0.0,False,True
743,Kwang,0.40885740901477524,True,1,761,Kwang,0.8623495697975159,0.40885740901477524,True,1,761,Kwang,0.8200281401683959,0.40885740901477524,True,1,761,Kwang,0.8623489938405029,0.40885740901477524,True,ConvNeXt-V2,0.40885740901477524,0.0,0.0,False,True
744,Kwang,0.33638362356552504,True,1,761,Kwang,0.8746241331100464,0.33638362356552504,True,1,761,Kwang,0.8353519412183511,0.33638362356552504,True,1,761,Kwang,0.8746243643745325,0.33638362356552504,True,ConvNeXt-V2,0.33638362356552504,0.0,0.0,False,True
745,Kwang,0.37188654196490617,True,1,761,Kwang,0.8607776761054993,0.37188654196490617,True,1,761,Kwang,0.8180760040691999,0.37188654196490617,True,1,761,Kwang,0.8607783689740709,0.37188654196490617,True,ConvNeXt-V2,0.37188654196490617,0.0,0.0,False,True
746,Kwang,0.39241497099454287,True,1,751,Kwang,0.8751267194747925,0.39241497099454287,True,1,751,Kwang,0.8359824027706789,0.39241497099454287,True,1,751,Kwang,0.87512668455313,0.39241497099454287,True,ConvNeXt-V2,0.39241497099454287,0.0,0.0,False,True
747,Kwang,0.4175122679727889,True,1,758,Kwang,0.8754391670227051,0.4175122679727889,True,1,758,Kwang,0.8363744675602168,0.4175122679727889,True,1,758,Kwang,0.8754393041607957,0.4175122679727889,True,ConvNeXt-V2,0.4175122679727889,0.0,0.0,False,True
748,Kwang,0.42851475352835894,True,1,751,Kwang,0.8685827255249023,0.42851475352835894,True,1,751,Kwang,0.8277920041833571,0.42851475352835894,True,1,751,Kwang,0.8685831916802156,0.42851475352835894,True,ConvNeXt-V2,0.42851475352835894,0.0,0.0,False,True
775,Kwang,0.531531318459302,True,1,36,Kwang,0.9496741890907288,0.531531318459302,True,1,36,Kwang,0.9321311243155758,0.531531318459302,True,1,36,Kwang,0.9496737893831755,0.531531318459302,True,ConvNeXt-V2,0.531531318459302,0.0,0.0,False,True
776,Kwang,0.41625672434740574,True,1,36,Kwang,0.9585320353507996,0.41625672434740574,True,1,36,Kwang,0.943903460742671,0.4162518618096125,True,1,36,Kwang,0.9585316128501596,0.41625672434740574,True,ConvNeXt-V2,0.41625672434740574,0.0,0.0,False,True
943,Lua,0.29930288558875384,True,1,941,Lua,0.8753281235694885,0.29930288558875384,True,1,941,Lua,0.8362351177141742,0.29930288558875384,True,1,941,Lua,0.8753286702284198,0.29930288558875384,True,ConvNeXt-V2,0.29930288558875384,0.0,0.0,False,True
944,Lua,0.4304595673573471,True,1,941,Lua,0.8712944984436035,0.4304595673573471,True,1,941,Lua,0.8311811403234564,0.43046328155489694,True,1,941,Lua,0.8712944045695564,0.4304595673573471,True,ConvNeXt-V2,0.4304595673573471,0.0,0.0,False,True
945,Lua,0.21717284388245053,True,1,941,Lua,0.8587517738342285,0.21717284388245053,True,1,941,Lua,0.8155634656239894,0.21717284388245053,True,1,941,Lua,0.8587525141514979,0.21717284388245053,True,ConvNeXt-V2,0.21717284388245053,0.0,0.0,False,True
946,Lua,0.1458487279811699,False,8,729,Katniss,0.8725472092628479,0.1458487279811699,False,8,729,Katniss,0.8327490988866526,0.1458487279811699,False,8,729,Katniss,0.87254742936341,0.1458487279811699,False,ConvNeXt-V2,0.1458487279811699,0.0,0.0,False,True
947,Lua,0.15595477005874447,False,7,700,Katniss,0.8687180876731873,0.15595477005874447,False,7,700,Katniss,0.8279610137387908,0.15595477005874447,False,7,700,Katniss,0.868717580611017,0.15595477005874447,False,ConvNeXt-V2,0.15595477005874447,0.0,0.0,False,True
948,Lua,0.15342974632938017,False,11,700,Katniss,0.8741223812103271,0.15342974632938017,False,11,700,Katniss,0.8347227636785859,0.15342974632938017,False,11,700,Katniss,0.8741220604951659,0.15342974632938017,False,ConvNeXt-V2,0.15342974632938017,0.0,0.0,False,True
949,Lua,0.12833296332831579,False,10,699,Katniss,0.878984808921814,0.12833296332831579,False,10,699,Katniss,0.8408300423962116,0.12833296332831579,False,10,699,Katniss,0.8789845013249683,0.12833296332831579,False,ConvNeXt-V2,0.12833296332831579,0.0,0.0,False,True
950,Lua,0.21992631388611233,True,1,941,Lua,0.840379536151886,0.21992631388611233,True,1,941,Lua,0.7929545083870193,0.21992631388611233,True,1,941,Lua,0.8403791437312912,0.21992631388611233,True,ConvNeXt-V2,0.21992631388611233,0.0,0.0,False,True
951,Lua,0.24384798313066217,True,1,941,Lua,0.83396315574646,0.24384798313066217,True,1,941,Lua,0.7851333585736191,0.24384798313066217,True,1,941,Lua,0.8339638036311959,0.24384798313066217,True,ConvNeXt-V2,0.24384798313066217,0.0,0.0,False,True
958,Madalena,0.6246779080081779,True,1,959,Madalena,0.8780855536460876,0.6246779080081779,True,1,959,Madalena,0.839698887159714,0.6246779080081779,True,1,959,Madalena,0.8780850707437844,0.6246779080081779,True,ConvNeXt-V2,0.6246779080081779,0.0,0.0,False,True
990,Marcela,0.5612425772275652,True,1,1095,Marcela,0.9222473502159119,0.5612425772275652,True,1,1095,Marcela,0.8961485456646647,0.5612388244618022,True,1,1095,Marcela,0.9222469843703545,0.5612425772275652,True,ConvNeXt-V2,0.5612425772275652,0.0,0.0,False,True
1039,Marcela,0.3514807819204011,True,1,1040,Marcela,0.9638878703117371,0.3514807819204011,True,1,1040,Marcela,0.9510573592353962,0.3514807819204011,True,1,1040,Marcela,0.9638880550000251,0.3514807819204011,True,ConvNeXt-V2,0.3514807819204011,0.0,0.0,False,True
1042,Marcela,0.3579330424225074,True,1,1041,Marcela,0.937324583530426,0.3579330424225074,True,1,1041,Marcela,0.915841432383762,0.3579330424225074,True,1,1041,Marcela,0.9373244076810501,0.3579330424225074,True,ConvNeXt-V2,0.3579330424225074,0.0,0.0,False,True
1055,Marcela,0.30861002817819155,True,1,1054,Marcela,0.8098193407058716,0.30861002817819155,True,1,1054,Marcela,0.756050968303328,0.30861002817819155,True,1,1054,Marcela,0.8098191020955089,0.30861002817819155,True,ConvNeXt-V2,0.30861002817819155,0.0,0.0,False,True
1056,Marcela,0.3873743711274895,True,1,1053,Marcela,0.8044804930686951,0.3873743711274895,True,1,1053,Marcela,0.7496941684461564,0.3873743711274895,True,1,1053,Marcela,0.8044806829223728,0.3873743711274895,True,ConvNeXt-V2,0.3873743711274895,0.0,0.0,False,True
1057,Marcela,0.38981111967891235,True,1,1053,Marcela,0.8692322969436646,0.38981111967891235,True,1,1053,Marcela,0.8286031989135684,0.38981111967891235,True,1,1053,Marcela,0.8692323034863986,0.38981111967891235,True,ConvNeXt-V2,0.38981111967891235,0.0,0.0,False,True
1058,Marcela,0.37002436198129374,True,1,1053,Marcela,0.8740442395210266,0.37002436198129374,True,1,1053,Marcela,0.8346247983446561,0.37002436198129374,True,1,1053,Marcela,0.8740443242348527,0.37002436198129374,True,ConvNeXt-V2,0.37002436198129374,0.0,0.0,False,True
1059,Marcela,0.37408128570138716,True,1,1053,Marcela,0.8714927434921265,0.37408128570138716,True,1,1053,Marcela,0.8314291758141205,0.37408250088745854,True,1,1053,Marcela,0.8714926444063026,0.37408128570138716,True,ConvNeXt-V2,0.37408128570138716,0.0,0.0,False,True
1060,Marcela,0.5683922088750327,True,1,1053,Marcela,0.8897233605384827,0.5683922088750327,True,1,1053,Marcela,0.8543966846033505,0.5683922088750327,True,1,1053,Marcela,0.8897233211852617,0.5683922088750327,True,ConvNeXt-V2,0.5683922088750327,0.0,0.0,False,True
1061,Marcela,0.24670993145746153,True,1,1053,Marcela,0.8210902810096741,0.24670993145746153,True,1,1053,Marcela,0.7695590570264252,0.24670993145746153,True,1,1053,Marcela,0.8210897974553877,0.24670993145746153,True,ConvNeXt-V2,0.24670993145746153,0.0,0.0,False,True
1062,Marcela,0.290074911003838,True,1,1053,Marcela,0.8470285534858704,0.290074911003838,True,1,1053,Marcela,0.8011001236303991,0.290074911003838,True,1,1053,Marcela,0.8470287809820921,0.290074911003838,True,ConvNeXt-V2,0.290074911003838,0.0,0.0,False,True
1063,Marcela,0.4791551446658622,True,1,1053,Marcela,0.897385835647583,0.4791551446658622,True,1,1053,Marcela,0.8641435152977259,0.4791551446658622,True,1,1053,Marcela,0.8973858321431974,0.4791551446658622,True,ConvNeXt-V2,0.4791551446658622,0.0,0.0,False,True
1064,Marcela,0.5720265149769573,True,1,1053,Marcela,0.8958171010017395,0.5720265149769573,True,1,1053,Marcela,0.8621435513465565,0.5720265149769573,True,1,1053,Marcela,0.8958165179058301,0.5720265149769573,True,ConvNeXt-V2,0.5720265149769573,0.0,0.0,False,True
1144,Medrosa,0.2831066886357939,False,2,476,Jaju,0.8002341389656067,0.2831066886357939,False,2,476,Jaju,0.7446573277451088,0.2831066886357939,False,2,476,Jaju,0.8002341292640617,0.2831066886357939,False,ConvNeXt-V2,0.2831066886357939,0.0,0.0,False,True
1187,Medrosa,0.47319704317055866,True,1,1186,Medrosa,0.8857689499855042,0.47319704317055866,True,1,1186,Medrosa,0.8493882164810306,0.47319704317055866,True,1,1186,Medrosa,0.8857690240345001,0.47319704317055866,True,ConvNeXt-V2,0.47319704317055866,0.0,0.0,False,True
1213,Medrosa,0.1613373659683407,False,8,689,Katniss,0.846120297908783,0.1613373659683407,False,8,689,Katniss,0.799984978225439,0.1613373659683407,False,8,689,Katniss,0.8461206927020085,0.1613373659683407,False,ConvNeXt-V2,0.1613373659683407,0.0,0.0,False,True
1214,Medrosa,0.15228968628250578,False,13,690,Katniss,0.8357053399085999,0.15228968628250578,False,13,690,Katniss,0.7872531340274169,0.15228968628250578,False,13,690,Katniss,0.8357056187748484,0.15228968628250578,False,ConvNeXt-V2,0.15228968628250578,0.0,0.0,False,True
1215,Medrosa,0.1764197886720982,False,11,689,Katniss,0.8339056968688965,0.1764197886720982,False,11,689,Katniss,0.7850634950584559,0.17641662050042814,False,11,689,Katniss,0.8339056165870979,0.1764197886720982,False,ConvNeXt-V2,0.1764197886720982,0.0,0.0,False,True
1216,Medrosa,0.17239114970328312,False,4,689,Katniss,0.8439770340919495,0.17239114970328312,False,4,689,Katniss,0.7973565832696405,0.17239114970328312,False,4,689,Katniss,0.8439769047833863,0.17239114970328312,False,ConvNeXt-V2,0.17239114970328312,0.0,0.0,False,True
1217,Medrosa,0.16272020304045695,True,1,1247,Medrosa,0.8381617665290833,0.16272020304045695,True,1,1247,Medrosa,0.7902468081252174,0.16271549974926175,True,1,1247,Medrosa,0.8381620305629438,0.16272020304045695,True,ConvNeXt-V2,0.16272020304045695,0.0,0.0,False,True
1218,Medrosa,0.17504185896885355,True,1,1247,Medrosa,0.8178950548171997,0.17504185896885355,True,1,1247,Medrosa,0.7657174687570792,0.17504185896885355,True,1,1247,Medrosa,0.8178947335948993,0.17504185896885355,True,ConvNeXt-V2,0.17504185896885355,0.0,0.0,False,True
1219,Medrosa,0.1996075796084131,True,1,1247,Medrosa,0.8355621099472046,0.1996075796084131,True,1,1247,Medrosa,0.7870787533886403,0.1996075796084131,True,1,1247,Medrosa,0.8355619690979573,0.1996075796084131,True,ConvNeXt-V2,0.1996075796084131,0.0,0.0,False,True
1220,Medrosa,0.16766540349413242,True,1,1247,Medrosa,0.8372251987457275,0.16766540349413242,True,1,1247,Medrosa,0.789104732574416,0.16766540349413242,True,1,1247,Medrosa,0.8372253600320686,0.16766540349413242,True,ConvNeXt-V2,0.16766540349413242,0.0,0.0,False,True
1221,Medrosa,0.17495274491867513,False,3,703,Katniss,0.8271244764328003,0.17495274491867513,False,3,703,Katniss,0.7768401272143074,0.1749534339089189,False,3,703,Katniss,0.8271246739908051,0.17495274491867513,False,ConvNeXt-V2,0.17495274491867513,0.0,0.0,False,True
1227,Medrosa,0.5706125499713423,True,1,1242,Medrosa,0.8975101709365845,0.5706125499713423,True,1,1242,Medrosa,0.8643021282010996,0.5706125499713423,True,1,1242,Medrosa,0.8975102221217807,0.5706125499713423,True,ConvNeXt-V2,0.5706125499713423,0.0,0.0,False,True
1228,Medrosa,0.463034473077286,True,1,1240,Medrosa,0.8738614320755005,0.463034473077286,True,1,1240,Medrosa,0.8343956372172707,0.463034473077286,True,1,1240,Medrosa,0.8738616607951072,0.463034473077286,True,ConvNeXt-V2,0.463034473077286,0.0,0.0,False,True
1230,Medrosa,0.6335106354990456,True,1,1193,Medrosa,0.9089911580085754,0.6335106354990456,True,1,1193,Medrosa,0.8790109981245371,0.6335106354990456,True,1,1193,Medrosa,0.9089908919263009,0.6335106354990456,True,ConvNeXt-V2,0.6335106354990456,0.0,0.0,False,True
1231,Medrosa,0.614865699210595,True,1,1240,Medrosa,0.9246866703033447,0.614865699210595,True,1,1240,Medrosa,0.8993201118651798,0.614865699210595,True,1,1240,Medrosa,0.9246864841091447,0.614865699210595,True,ConvNeXt-V2,0.614865699210595,0.0,0.0,False,True
1232,Medrosa,0.6219215197001055,True,1,1240,Medrosa,0.9219477772712708,0.6219215197001055,True,1,1240,Medrosa,0.8957594318218264,0.6219222640961853,True,1,1240,Medrosa,0.9219483078567394,0.6219215197001055,True,ConvNeXt-V2,0.6219215197001055,0.0,0.0,False,True
1233,Medrosa,0.5952509334775776,True,1,1240,Medrosa,0.9200658798217773,0.5952509334775776,True,1,1240,Medrosa,0.8933169769904008,0.5952509334775776,True,1,1240,Medrosa,0.920065840924373,0.5952509334775776,True,ConvNeXt-V2,0.5952509334775776,0.0,0.0,False,True
1234,Medrosa,0.6421223596550386,True,1,1240,Medrosa,0.9178740978240967,0.6421223596550386,True,1,1240,Medrosa,0.8904765361264584,0.6421223596550386,True,1,1240,Medrosa,0.9178733045488958,0.6421223596550386,True,ConvNeXt-V2,0.6421223596550386,0.0,0.0,False,True
1235,Medrosa,0.6440621290177299,True,1,1240,Medrosa,0.9155869483947754,0.6440621290177299,True,1,1240,Medrosa,0.8875173262878836,0.6440621290177299,True,1,1240,Medrosa,0.9155863952381382,0.6440621290177299,True,ConvNeXt-V2,0.6440621290177299,0.0,0.0,False,True
1236,Medrosa,0.6483743983137915,True,1,1239,Medrosa,0.9280427098274231,0.6483743983137915,True,1,1239,Medrosa,0.903692738568017,0.6483743983137915,True,1,1239,Medrosa,0.9280418305008329,0.6483743983137915,True,ConvNeXt-V2,0.6483743983137915,0.0,0.0,False,True
1237,Medrosa,0.6309309630418639,True,1,1193,Medrosa,0.9182831048965454,0.6309309630418639,True,1,1193,Medrosa,0.8910062457603913,0.6309309630418639,True,1,1193,Medrosa,0.9182824147119323,0.6309309630418639,True,ConvNeXt-V2,0.6309309630418639,0.0,0.0,False,True
1238,Medrosa,0.6002215762916482,True,1,1198,Medrosa,0.9119385480880737,0.6002215762916482,True,1,1198,Medrosa,0.882807067482754,0.6002215762916482,True,1,1198,Medrosa,0.9119386694552447,0.6002215762916482,True,ConvNeXt-V2,0.6002215762916482,0.0,0.0,False,True
1387,Ousado,0.21171630682438075,False,3,849,Lua,0.8584568500518799,0.21171630682438075,False,3,849,Lua,0.8151980212675456,0.21171985164839513,False,3,849,Lua,0.858456374016624,0.21171630682438075,False,ConvNeXt-V2,0.21171630682438075,0.0,0.0,False,True
1443,Ousado,0.6865152406022399,True,1,1442,Ousado,0.9195652604103088,0.6865152406022399,True,1,1442,Ousado,0.8926678004776653,0.6865152406022399,True,1,1442,Ousado,0.9195659592756834,0.6865152406022399,True,ConvNeXt-V2,0.6865152406022399,0.0,0.0,False,True
1465,Ousado,0.16973257105587553,True,1,1466,Ousado,0.953110933303833,0.16973257105587553,True,1,1466,Ousado,0.9366898870047169,0.16973257105587553,True,1,1466,Ousado,0.953110748363614,0.16973257105587553,True,ConvNeXt-V2,0.16973257105587553,0.0,0.0,False,True
1471,Overa,0.04524064604812016,True,1,1470,Overa,0.9134536385536194,0.04524064604812016,True,1,1470,Overa,0.8847615999547719,0.04524064604812016,True,1,1470,Overa,0.9134533631253691,0.04524064604812016,True,ConvNeXt-V2,0.04524064604812016,0.0,0.0,False,True
1535,Oxum,0.09045085572719457,True,1,1537,Oxum,0.877244770526886,0.09045085572719457,True,1,1537,Oxum,0.8386419716042761,0.09045085572719457,True,1,1537,Oxum,0.8772447988170491,0.09045085572719457,True,ConvNeXt-V2,0.09045085572719457,0.0,0.0,False,True
1536,Oxum,0.08857023086516161,True,1,1537,Oxum,0.8625110983848572,0.08857023086516161,True,1,1537,Oxum,0.8202288744693736,0.08857023086516161,True,1,1537,Oxum,0.8625109786778471,0.08857023086516161,True,ConvNeXt-V2,0.08857023086516161,0.0,0.0,False,True
1545,Patricia,0.024997918626656387,False,46,216,Apeiara,0.6158121228218079,0.024997918626656387,False,46,216,Apeiara,0.5422839640083111,0.024997918626656387,False,46,216,Apeiara,0.615812279815274,0.024997918626656387,False,ConvNeXt-V2,0.024997918626656387,0.0,0.0,False,True
1557,Pixana,0.22845542419676,True,1,1555,Pixana,0.847588837146759,0.22845542419676,True,1,1555,Pixana,0.8017884205947804,0.22845542419676,True,1,1555,Pixana,0.8475886699621302,0.22845542419676,True,ConvNeXt-V2,0.22845542419676,0.0,0.0,False,True
1630,Pyte,0.8745566922609516,True,1,1642,Pyte,0.9220961928367615,0.8745566922609516,True,1,1642,Pyte,0.8959521975178705,0.8745566922609516,True,1,1642,Pyte,0.9220965305604079,0.8745566922609516,True,ConvNeXt-V2,0.8745566922609516,0.0,0.0,False,True
1631,Pyte,0.8940780066840777,True,1,1648,Pyte,0.9178401231765747,0.8940780066840777,True,1,1648,Pyte,0.8904325422655298,0.8940780066840777,True,1,1648,Pyte,0.9178403045649004,0.8940780066840777,True,ConvNeXt-V2,0.8940780066840777,0.0,0.0,False,True
1675,Saseka,0.063992272227803,True,1,1676,Saseka,0.80405592918396,0.063992272227803,True,1,1676,Saseka,0.7491898053590119,0.063992272227803,True,1,1676,Saseka,0.8040557721666554,0.063992272227803,True,ConvNeXt-V2,0.063992272227803,0.0,0.0,False,True
1676,Saseka,0.08017992973792282,True,1,90,Saseka,0.8163564205169678,0.08017992973792282,True,1,90,Saseka,0.7638710131232714,0.08017992973792282,True,1,90,Saseka,0.8163572566909139,0.08017992973792282,True,ConvNeXt-V2,0.08017992973792282,0.0,0.0,False,True
